"outcome","predictor","method","feature_set","rmse"
"choice_prop","stress_binary","forest","PCA",0.233739079334337
"choice_prop","stress_binary","forest","UMAP",0.214053205181604
"choice_prop","stress_binary","forest","Raw",0.192967224639675
"choice_prop","stress_binary","tree","PCA",0.259966363078132
"choice_prop","stress_binary","tree","UMAP",0.264762961503825
"choice_prop","stress_binary","tree","Raw",0.244459323013643
"choice_prop","stress_binary","glmm","PCA",0.315315689666105
"choice_prop","stress_binary","glmm","UMAP",0.289579967596625
"choice_prop","stress_binary","glmm","Raw",0.287213945754105
"median_rt","stress_binary","forest","PCA",0.271315353138216
"median_rt","stress_binary","forest","UMAP",0.259233462751311
"median_rt","stress_binary","forest","Raw",0.237765598375312
"median_rt","stress_binary","tree","PCA",0.28420829270887
"median_rt","stress_binary","tree","UMAP",0.280248384290908
"median_rt","stress_binary","tree","Raw",0.282789593545438
"median_rt","stress_binary","glmm","PCA",0.2848288096086
"median_rt","stress_binary","glmm","UMAP",0.284268161763636
"median_rt","stress_binary","glmm","Raw",0.291367053108053
"drift","stress_binary","forest","PCA",0.286635008684773
"drift","stress_binary","forest","UMAP",0.274006112377245
"drift","stress_binary","forest","Raw",0.255809656338241
"drift","stress_binary","tree","PCA",0.302591037239298
"drift","stress_binary","tree","UMAP",0.30431720545934
"drift","stress_binary","tree","Raw",0.301897798669971
"drift","stress_binary","glmm","PCA",0.308295064553226
"drift","stress_binary","glmm","UMAP",0.308330526770938
"drift","stress_binary","glmm","Raw",0.311380023603102
"alcbias","stress_binary","forest","PCA",1.27013877047581
"alcbias","stress_binary","forest","UMAP",1.170744055071
"alcbias","stress_binary","forest","Raw",1.058957067358
"alcbias","stress_binary","tree","PCA",1.42033279646854
"alcbias","stress_binary","tree","UMAP",1.42830200314137
"alcbias","stress_binary","tree","Raw",1.34776094445799
"alcbias","stress_binary","glmm","PCA",1.75033109839455
"alcbias","stress_binary","glmm","UMAP",1.53597437582162
"alcbias","stress_binary","glmm","Raw",1.57034416974015
"B","stress_binary","forest","PCA",0.317204226009672
"B","stress_binary","forest","UMAP",0.306569589777237
"B","stress_binary","forest","Raw",0.297606566634893
"B","stress_binary","tree","PCA",0.324043175323282
"B","stress_binary","tree","UMAP",0.324043175323282
"B","stress_binary","tree","Raw",0.324043175323282
"B","stress_binary","glmm","PCA",0.323063374032577
"B","stress_binary","glmm","UMAP",0.322388051600045
"B","stress_binary","glmm","Raw",0.32309649603533
"choice_prop","stress_state","forest","PCA",0.233170939425692
"choice_prop","stress_state","forest","UMAP",0.212978714538334
"choice_prop","stress_state","forest","Raw",0.191768484683925
"choice_prop","stress_state","tree","PCA",0.263016940046886
"choice_prop","stress_state","tree","UMAP",0.262888524773396
"choice_prop","stress_state","tree","Raw",0.246553145472518
"choice_prop","stress_state","glmm","PCA",0.309710063537914
"choice_prop","stress_state","glmm","UMAP",0.284053272947906
"choice_prop","stress_state","glmm","Raw",0.286695638370484
"median_rt","stress_state","forest","PCA",0.269839741376638
"median_rt","stress_state","forest","UMAP",0.256099138143777
"median_rt","stress_state","forest","Raw",0.238424445239335
"median_rt","stress_state","tree","PCA",0.284207658110906
"median_rt","stress_state","tree","UMAP",0.282640967100933
"median_rt","stress_state","tree","Raw",0.282954790373906
"median_rt","stress_state","glmm","PCA",0.284496163165774
"median_rt","stress_state","glmm","UMAP",0.285391178863707
"median_rt","stress_state","glmm","Raw",0.290439401300806
"drift","stress_state","forest","PCA",0.284935664136977
"drift","stress_state","forest","UMAP",0.270457466788287
"drift","stress_state","forest","Raw",0.256038515864038
"drift","stress_state","tree","PCA",0.301141472690226
"drift","stress_state","tree","UMAP",0.303293019310466
"drift","stress_state","tree","Raw",0.301311215112037
"drift","stress_state","glmm","PCA",0.308382645256106
"drift","stress_state","glmm","UMAP",0.305023842185257
"drift","stress_state","glmm","Raw",0.307918731304594
"alcbias","stress_state","forest","PCA",1.26391155638629
"alcbias","stress_state","forest","UMAP",1.16892454486275
"alcbias","stress_state","forest","Raw",1.04955205930764
"alcbias","stress_state","tree","PCA",1.42281626729061
"alcbias","stress_state","tree","UMAP",1.42335108801656
"alcbias","stress_state","tree","Raw",1.34944999490661
"alcbias","stress_state","glmm","PCA",1.77235605248426
"alcbias","stress_state","glmm","UMAP",1.58311796704677
"alcbias","stress_state","glmm","Raw",1.56349220571981
"B","stress_state","forest","PCA",0.311675068726836
"B","stress_state","forest","UMAP",0.3017288088308
"B","stress_state","forest","Raw",0.292854437229944
"B","stress_state","tree","PCA",0.319160360359682
"B","stress_state","tree","UMAP",0.31931367967251
"B","stress_state","tree","Raw",0.318353406280154
"B","stress_state","glmm","PCA",0.318292480575154
"B","stress_state","glmm","UMAP",0.318204557315057
"B","stress_state","glmm","Raw",0.318311729905067
"choice_prop","NA_state","forest","PCA",0.23345873930806
"choice_prop","NA_state","forest","UMAP",0.213242417185055
"choice_prop","NA_state","forest","Raw",0.191917534111963
"choice_prop","NA_state","tree","PCA",0.261806778858122
"choice_prop","NA_state","tree","UMAP",0.267681355830563
"choice_prop","NA_state","tree","Raw",0.245674376721488
"choice_prop","NA_state","glmm","PCA",0.3069863720044
"choice_prop","NA_state","glmm","UMAP",0.281429232281034
"choice_prop","NA_state","glmm","Raw",0.288524596607237
"median_rt","NA_state","forest","PCA",0.270232779322678
"median_rt","NA_state","forest","UMAP",0.255918174248622
"median_rt","NA_state","forest","Raw",0.238262886211066
"median_rt","NA_state","tree","PCA",0.284320369007919
"median_rt","NA_state","tree","UMAP",0.281180799642717
"median_rt","NA_state","tree","Raw",0.282798387305961
"median_rt","NA_state","glmm","PCA",0.284338848608311
"median_rt","NA_state","glmm","UMAP",0.28350412761691
"median_rt","NA_state","glmm","Raw",0.290543260887864
"drift","NA_state","forest","PCA",0.284834204363603
"drift","NA_state","forest","UMAP",0.270327969884934
"drift","NA_state","forest","Raw",0.255464820334577
"drift","NA_state","tree","PCA",0.301955418941986
"drift","NA_state","tree","UMAP",0.303874847742569
"drift","NA_state","tree","Raw",0.301069055623913
"drift","NA_state","glmm","PCA",0.306337054893665
"drift","NA_state","glmm","UMAP",0.304687088875909
"drift","NA_state","glmm","Raw",0.307644619196092
"alcbias","NA_state","forest","PCA",1.26677736511019
"alcbias","NA_state","forest","UMAP",1.17363682799429
"alcbias","NA_state","forest","Raw",1.05148076067506
"alcbias","NA_state","tree","PCA",1.41196703542357
"alcbias","NA_state","tree","UMAP",1.43393688104604
"alcbias","NA_state","tree","Raw",1.34847806022438
"alcbias","NA_state","glmm","PCA",1.7564952140471
"alcbias","NA_state","glmm","UMAP",1.58221719230426
"alcbias","NA_state","glmm","Raw",1.57362943215499
"B","NA_state","forest","PCA",0.309158521742839
"B","NA_state","forest","UMAP",0.298888518721021
"B","NA_state","forest","Raw",0.290504488816271
"B","NA_state","tree","PCA",0.317189236291836
"B","NA_state","tree","UMAP",0.314899653694265
"B","NA_state","tree","Raw",0.317206039685658
"B","NA_state","glmm","PCA",0.316182821869661
"B","NA_state","glmm","UMAP",0.316141210985759
"B","NA_state","glmm","Raw",0.315995641489204
"choice_prop","PA_state","forest","PCA",0.233062187674738
"choice_prop","PA_state","forest","UMAP",0.213556875605997
"choice_prop","PA_state","forest","Raw",0.191872599767991
"choice_prop","PA_state","tree","PCA",0.261742935471568
"choice_prop","PA_state","tree","UMAP",0.266155501717814
"choice_prop","PA_state","tree","Raw",0.246474389507342
"choice_prop","PA_state","glmm","PCA",0.297073313123738
"choice_prop","PA_state","glmm","UMAP",0.2754009962798
"choice_prop","PA_state","glmm","Raw",0.292826135202467
"median_rt","PA_state","forest","PCA",0.269803609245196
"median_rt","PA_state","forest","UMAP",0.25640648603528
"median_rt","PA_state","forest","Raw",0.237242974066866
"median_rt","PA_state","tree","PCA",0.284215973477632
"median_rt","PA_state","tree","UMAP",0.279487936875665
"median_rt","PA_state","tree","Raw",0.281972446725837
"median_rt","PA_state","glmm","PCA",0.284463873458525
"median_rt","PA_state","glmm","UMAP",0.284103551683179
"median_rt","PA_state","glmm","Raw",0.287582692000484
"drift","PA_state","forest","PCA",0.282675680326842
"drift","PA_state","forest","UMAP",0.270222318766062
"drift","PA_state","forest","Raw",0.254128943068572
"drift","PA_state","tree","PCA",0.302641547785484
"drift","PA_state","tree","UMAP",0.304585952105443
"drift","PA_state","tree","Raw",0.303503711927884
"drift","PA_state","glmm","PCA",0.306685449533226
"drift","PA_state","glmm","UMAP",0.305740716063558
"drift","PA_state","glmm","Raw",0.309681216947995
"alcbias","PA_state","forest","PCA",1.26723472819338
"alcbias","PA_state","forest","UMAP",1.16791926257409
"alcbias","PA_state","forest","Raw",1.05179771381244
"alcbias","PA_state","tree","PCA",1.41836299641101
"alcbias","PA_state","tree","UMAP",1.42179045787605
"alcbias","PA_state","tree","Raw",1.3462592485207
"alcbias","PA_state","glmm","PCA",1.74915503806288
"alcbias","PA_state","glmm","UMAP",1.49825102147384
"alcbias","PA_state","glmm","Raw",1.57373966237353
"B","PA_state","forest","PCA",0.335474759881754
"B","PA_state","forest","UMAP",0.323041518530061
"B","PA_state","forest","Raw",0.315930786331735
"B","PA_state","tree","PCA",0.344941548769915
"B","PA_state","tree","UMAP",0.344941548769915
"B","PA_state","tree","Raw",0.344941548769915
"B","PA_state","glmm","PCA",0.344367048384322
"B","PA_state","glmm","UMAP",0.344060588718538
"B","PA_state","glmm","Raw",0.344169008263424
